iso2,zip_code,location
AT,3841,Windigsteig
AT,3842,Thaya
AT,3843,Dobersberg
AT,3844,Waldkirchen an der Thaya
AT,3851,Kautzen
AT,3852,Gastern
AT,3860,Heidenreichstein
AT,3861,Eggern
AT,3862,Eisgarn
AT,3863,Reingers
AT,3871,Nagelberg
AT,3872,Langegg
AT,3873,Brand
AT,3874,Litschau
AT,3900,Schwarzenau
AT,3902,Vitis
AT,3903,Echsenbach
AT,3910,Zwettl
AT,3911,Rappottenstein
AT,3912,Grafenschlag
AT,3913,Großgöttfritz
AT,3914,Waldhausen
AT,3920,Groß Gerungs
AT,3921,Langschlag
AT,3922,Großschönau
AT,3923,Jagenbach
AT,3924,Rosenau Schloß
AT,3925,Arbesbach
AT,3931,Schweiggers
AT,3932,Kirchberg am Walde
AT,3942,Hirschbach
AT,3943,Schrems
AT,3944,Pürbach
AT,3945,Hoheneich
AT,3950,Gmünd
AT,3961,Waldenstein
AT,3962,Heinrichs bei Weitra
AT,3970,Weitra
AT,3971,St. Martin
AT,3972,Bad Großpertholz
AT,3973,Karlstift
AT,4020,Linz
AT,4030,Linz
AT,4040,Linz
AT,4048,Puchenau
AT,4050,Traun
AT,4052,Ansfelden
AT,4053,Haid
AT,4055,Pucking
AT,4060,Leonding
AT,4061,Pasching
AT,4062,Thening
AT,4063,Hörsching
AT,4064,Oftering
AT,4070,Eferding
AT,4072,Alkoven
AT,4073,Wilhering
AT,4074,Stroheim
AT,4075,Breitenaich
AT,4076,St. Marienkirchen an der Polsenz
AT,4081,Hartkirchen
AT,4082,Aschach an der Donau
AT,4083,Haibach ob der Donau
AT,4084,St. Agatha
AT,4085,Wesenufer
AT,4090,Engelhartszell
AT,4091,Vichtenstein
AT,4092,Esternberg
AT,4100,Ottensheim
AT,4101,Feldkirchen an der Donau
AT,4102,Goldwörth
AT,4111,Walding
AT,4112,Rottenegg
AT,4113,St. Martin im Mühlkreis
AT,4114,Neuhaus an der Donau
AT,4115,Kleinzell im Mühlkreis
AT,4116,St. Ulrich im Mühlkreis
AT,4120,Neufelden
AT,4121,Altenfelden
AT,4122,Arnreit
AT,4131,Kirchberg ob der Donau
AT,4132,Lembach im Mühlkreis
AT,4133,Niederkappel
AT,4134,Putzleinsdorf
AT,4141,Pfarrkirchen im Mühlkreis
AT,4142,Hofkirchen im Mühlkreis
AT,4143,Neustift im Mühlkreis
AT,4144,Oberkappel
AT,4150,Rohrbach in Oberösterreich
AT,4151,Oepping
AT,4152,Sarleinsbach
AT,4153,Peilstein im Mühlviertel
AT,4154,Kollerschlag
AT,4155,Nebelberg
AT,4160,Aigen-Schlägl
AT,4161,Ulrichsberg
AT,4162,Julbach
AT,4163,Klaffer am Hochficht
AT,4164,Schwarzenberg am Böhmerwald
AT,4170,Haslach an der Mühl
AT,4171,St. Peter am Wimberg
AT,4172,St. Johann am Wimberg
AT,4173,St. Veit im Mühlkreis
AT,4174,Niederwaldkirchen
AT,4175,Herzogsdorf
AT,4180,Zwettl an der Rodl
AT,4181,Oberneukirchen
AT,4182,Waxenberg
AT,4183,Traberg
AT,4184,Helfenberg
AT,4190,Bad Leonfelden
AT,4191,Vorderweißenbach
AT,4192,Schenkenfelden
AT,4193,Reichenthal
AT,4201,Gramastetten
AT,4202,Hellmonsödt
AT,4203,Altenberg bei Linz
AT,4204,Reichenau im Mühlkreis
AT,4209,Engerwitzdorf
AT,4210,Gallneukirchen
AT,4211,Alberndorf in der Riedmark
AT,4212,Neumarkt im Mühlkreis
AT,4213,Unterweitersdorf
AT,4221,Steyregg
AT,4222,St. Georgen an der Gusen
AT,4223,Katsdorf
AT,4224,Wartberg ob der Aist
AT,4225,Luftenberg
AT,4230,Pregarten
AT,4232,Hagenberg im Mühlkreis
AT,4240,Freistadt
AT,4242,Hirschbach im Mühlkreis
AT,4251,Sandl
AT,4252,Liebenau
AT,4261,Rainbach im Mühlkreis
AT,4262,Leopoldschlag
AT,4263,Windhaag bei Freistadt
AT,4264,Grünbach
AT,4271,St. Oswald bei Freistadt
AT,4272,Weitersfelden
AT,4273,Unterweißenbach
AT,4274,Schönau im Mühlkreis
AT,4280,Königswiesen
AT,4281,Mönchdorf
AT,4282,Pierbach
AT,4283,Bad Zell
AT,4284,Tragwein
AT,4291,Lasberg
AT,4292,Kefermarkt
AT,4293,Gutau
AT,4294,St. Leonhard bei Freistadt
AT,4300,St. Valentin
AT,4303,St. Pantaleon
AT,4310,Mauthausen
AT,4311,Schwertberg
AT,4312,Ried in der Riedmark
AT,4320,Perg
AT,4322,Windhaag bei Perg
AT,4323,Münzbach
AT,4324,Rechberg
AT,4331,Naarn
AT,4332,Au an der Donau
AT,4341,Arbing
AT,4342,Baumgartenberg
AT,4343,Mitterkirchen
AT,4351,Saxen
AT,4352,Klam
AT,4360,Grein
AT,4362,Bad Kreuzen
AT,4363,Pabneukirchen
AT,4364,St. Thomas
AT,4371,Dimbach
AT,4372,St. Georgen am Walde
AT,4381,St. Nikola an der Donau
AT,4382,Sarmingstein
AT,4391,Waldhausen im Strudengau
