iso2,location,zip_code,route, 
FR,NICE,06200,ST ISIDORE,
FR,PEGOMAS,06580,,
FR,PEILLE,06440,,
FR,PEYMEINADE,06530,,
FR,ROUBION,06420,,
FR,ROURE,06420,,
FR,STE AGNES,06500,,
FR,ST ETIENNE DE TINEE,06660,,
FR,ST JEANNET,06640,,
FR,ST MARTIN D ENTRAUNES,06470,,
FR,ST MARTIN DU VAR,06670,,
FR,ST VALLIER DE THIEY,06460,,
FR,SIGALE,06910,,
FR,LE TIGNET,06530,,
FR,UTELLE,06450,,
FR,TENDE,06430,ST DALMAS DE TENDE,
FR,ALBOUSSIERE,07440,,
FR,VALLEES D ANTRAIGUES ASPERJOC,07530,ANTRAIGUES SUR VOLANE,
FR,ARCENS,07310,,
FR,ASTET,07330,,
FR,BAIX,07210,,
FR,LE BEAGE,07630,,
FR,BEAUCHASTEL,07800,,
FR,BEAULIEU,07460,,
FR,BEAUMONT,07110,,
FR,BOZAS,07410,,
FR,BOUCIEU LE ROI,07270,,
FR,BOURG ST ANDEOL,07700,,
FR,BROSSAINC,07340,,
FR,BURZET,07450,,
FR,CELLIER DU LUC,07590,,
FR,CHAMBONAS,07140,,
FR,CHARNAS,07340,,
FR,LE CHEYLARD,07160,,
FR,CHIROLS,07380,,
FR,DAVEZIEUX,07430,,
FR,EMPURANY,07270,,
FR,GLUIRAS,07190,,
FR,ISSAMOULENC,07190,,
FR,JAUNAC,07160,,
FR,JOANNAS,07110,,
FR,LABASTIDE DE VIRAC,07150,,
FR,LABEAUME,07120,,
FR,LABEGUDE,07200,,
FR,LABLACHERE,07230,,
FR,LALOUVESC,07520,,
FR,LANARCE,07660,,
FR,LARNAS,07220,,
FR,LAVEYRUNE,48250,,
FR,LIMONY,07340,,
FR,MARS,07320,,
FR,MEYSSE,07400,,
FR,MEZILHAC,07530,,
FR,MIRABEL,07170,,
FR,LES OLLIERES SUR EYRIEUX,07360,,
FR,PEREYRES,07450,,
FR,LE PLAGNAL,07590,,
FR,LE POUZIN,07250,,
FR,PRANLES,07000,,
FR,SAGNES ET GOUDOULET,07450,,
FR,ST ANDEOL DE BERG,07170,,
FR,ST BASILE,07270,,
FR,ST BAUZILE,07210,,
FR,ST CIERGE LA SERRE,07800,,
FR,ST CLAIR,07430,,
FR,ST CLEMENT,07310,,
FR,ST FELICIEN,07410,,
FR,ST FORTUNAT SUR EYRIEUX,07360,,
FR,ST GENEST LACHAMP,07160,,
FR,ST GEORGES LES BAINS,07800,,
FR,ST JACQUES D ATTICIEUX,07340,,
FR,ST JEAN ROURE,07160,,
FR,ST JULIEN DU SERRE,07200,,
FR,ST JULIEN VOCANCE,07690,,
FR,STE MARGUERITE LAFIGERE,07140,,
FR,ST MICHEL D AURANCE,07160,,
FR,ST MICHEL DE CHABRILLANOUX,07360,,
FR,ST MONTAN,07220,,
FR,ST PIERRE DE COLOMBIER,07450,,
FR,ST PIERRE SUR DOUX,07520,,
FR,ST PONS,07580,,
FR,ST PRIEST,07000,,
FR,ST SYLVESTRE,07440,,
